trial,sigma,tau,method,rot_err_deg,trans_err,repr_rmse,runtime_ms,success
17,0.0,nan,EPnP,0.0,7.120157239281594e-15,9.845568954283847e-14,0.13429997488856316,1
17,0.0,nan,ITERATIVE,0.0,1.2412670766236366e-16,4.0194366942304644e-14,0.14819996431469917,1
17,0.0,0.01,EPnP+TSVD,0.0,7.120157239281594e-15,9.845568954283847e-14,0.17809995915740728,1
17,0.0,0.001,EPnP+TSVD,0.0,7.120157239281594e-15,9.845568954283847e-14,0.15490001533180475,1
17,0.0,0.0001,EPnP+TSVD,0.0,7.120157239281594e-15,9.845568954283847e-14,0.1680999994277954,1
17,0.0,1e-05,EPnP+TSVD,0.0,7.120157239281594e-15,9.845568954283847e-14,0.15259999781847,1
17,0.0,1e-06,EPnP+TSVD,0.0,7.120157239281594e-15,9.845568954283847e-14,0.1503999810665846,1
18,0.0,nan,EPnP,0.0,1.9181492553389518e-15,1.5951644855252062e-13,0.13379997108131647,1
18,0.0,nan,ITERATIVE,0.0,1.793620188084545e-15,5.0242958677880804e-14,0.14729995746165514,1
18,0.0,0.01,EPnP+TSVD,0.0,1.9181492553389518e-15,1.5951644855252062e-13,0.18799991812556982,1
18,0.0,0.001,EPnP+TSVD,0.0,1.9181492553389518e-15,1.5951644855252062e-13,0.16789999790489674,1
18,0.0,0.0001,EPnP+TSVD,0.0,1.9181492553389518e-15,1.5951644855252062e-13,0.18149998504668474,1
18,0.0,1e-05,EPnP+TSVD,0.0,1.9181492553389518e-15,1.5951644855252062e-13,0.16219995450228453,1
18,0.0,1e-06,EPnP+TSVD,0.0,1.9181492553389518e-15,1.5951644855252062e-13,0.15159999020397663,1
19,0.0,nan,EPnP,0.0,3.636721891222372e-15,1.4210854715202004e-13,0.13599998783320189,1
19,0.0,nan,ITERATIVE,0.0,1.7767904673426062e-15,5.317214951750687e-14,0.14669995289295912,1
19,0.0,0.01,EPnP+TSVD,0.0,3.636721891222372e-15,1.4210854715202004e-13,0.16259995754808187,1
19,0.0,0.001,EPnP+TSVD,0.0,3.636721891222372e-15,1.4210854715202004e-13,0.1498999772593379,1
19,0.0,0.0001,EPnP+TSVD,0.0,3.636721891222372e-15,1.4210854715202004e-13,0.15030009672045708,1
19,0.0,1e-05,EPnP+TSVD,0.0,3.636721891222372e-15,1.4210854715202004e-13,0.14739995822310448,1
19,0.0,1e-06,EPnP+TSVD,0.0,3.636721891222372e-15,1.4210854715202004e-13,0.15219999477267265,1
20,0.0,nan,EPnP,0.0,8.89651712719859e-15,1.2058310082691391e-13,0.1404000213369727,1
20,0.0,nan,ITERATIVE,0.0,1.7806883670196607e-15,4.0194366942304644e-14,0.16489997506141663,1
20,0.0,0.01,EPnP+TSVD,0.0,8.89651712719859e-15,1.2058310082691391e-13,0.1852000132203102,1
20,0.0,0.001,EPnP+TSVD,0.0,8.89651712719859e-15,1.2058310082691391e-13,0.1767999492585659,1
20,0.0,0.0001,EPnP+TSVD,0.0,8.89651712719859e-15,1.2058310082691391e-13,0.16910000704228878,1
20,0.0,1e-05,EPnP+TSVD,0.0,8.89651712719859e-15,1.2058310082691391e-13,0.14940008986741304,1
20,0.0,1e-06,EPnP+TSVD,0.0,8.89651712719859e-15,1.2058310082691391e-13,0.14709995593875647,1
21,0.0,nan,EPnP,0.0,9.401112973894648e-16,2.1173696645961598e-13,0.13050006236881018,1
21,0.0,nan,ITERATIVE,0.0,9.428744728725485e-17,2.842170943040401e-14,0.143399927765131,1
21,0.0,0.01,EPnP+TSVD,0.0,9.401112973894648e-16,2.1173696645961598e-13,0.16000005416572094,1
21,0.0,0.001,EPnP+TSVD,0.0,9.401112973894648e-16,2.1173696645961598e-13,0.14760007616132498,1
21,0.0,0.0001,EPnP+TSVD,0.0,9.401112973894648e-16,2.1173696645961598e-13,0.1612999476492405,1
21,0.0,1e-05,EPnP+TSVD,0.0,9.401112973894648e-16,2.1173696645961598e-13,0.14919997192919254,1
21,0.0,1e-06,EPnP+TSVD,0.0,9.401112973894648e-16,2.1173696645961598e-13,0.14629994984716177,1
